word_id,word_no,label,training_sample_count,example_sample_ids,label_variants,duplicate_label_word_count,duplicate_label_word_ids,source_split
WORD0011,11,안타깝다,80,NIA_SL_WORD0011_REAL01_D_morpheme|NIA_SL_WORD0011_REAL01_F_morpheme|NIA_SL_WORD0011_REAL01_L_morpheme|NIA_SL_WORD0011_REAL01_R_morpheme|NIA_SL_WORD0011_REAL01_U_morpheme,안타깝다:80,2,WORD0011|WORD1315,Training
WORD0012,12,어색하다,80,NIA_SL_WORD0012_REAL01_D_morpheme|NIA_SL_WORD0012_REAL01_F_morpheme|NIA_SL_WORD0012_REAL01_L_morpheme|NIA_SL_WORD0012_REAL01_R_morpheme|NIA_SL_WORD0012_REAL01_U_morpheme,어색하다:80,1,WORD0012,Training
WORD0013,13,여아,80,NIA_SL_WORD0013_REAL01_D_morpheme|NIA_SL_WORD0013_REAL01_F_morpheme|NIA_SL_WORD0013_REAL01_L_morpheme|NIA_SL_WORD0013_REAL01_R_morpheme|NIA_SL_WORD0013_REAL01_U_morpheme,여아:80,1,WORD0013,Training
WORD0014,14,외국인,80,NIA_SL_WORD0014_REAL01_D_morpheme|NIA_SL_WORD0014_REAL01_F_morpheme|NIA_SL_WORD0014_REAL01_L_morpheme|NIA_SL_WORD0014_REAL01_R_morpheme|NIA_SL_WORD0014_REAL01_U_morpheme,외국인:80,1,WORD0014,Training
WORD0015,15,영아,80,NIA_SL_WORD0015_REAL01_D_morpheme|NIA_SL_WORD0015_REAL01_F_morpheme|NIA_SL_WORD0015_REAL01_L_morpheme|NIA_SL_WORD0015_REAL01_R_morpheme|NIA_SL_WORD0015_REAL01_U_morpheme,영아:80,1,WORD0015,Training
WORD0016,16,신사,80,NIA_SL_WORD0016_REAL01_D_morpheme|NIA_SL_WORD0016_REAL01_F_morpheme|NIA_SL_WORD0016_REAL01_L_morpheme|NIA_SL_WORD0016_REAL01_R_morpheme|NIA_SL_WORD0016_REAL01_U_morpheme,신사:80,1,WORD0016,Training
WORD0017,17,뉴질랜드,80,NIA_SL_WORD0017_REAL01_D_morpheme|NIA_SL_WORD0017_REAL01_F_morpheme|NIA_SL_WORD0017_REAL01_L_morpheme|NIA_SL_WORD0017_REAL01_R_morpheme|NIA_SL_WORD0017_REAL01_U_morpheme,뉴질랜드:80,1,WORD0017,Training
WORD0018,18,나사렛대학교,80,NIA_SL_WORD0018_REAL01_D_morpheme|NIA_SL_WORD0018_REAL01_F_morpheme|NIA_SL_WORD0018_REAL01_L_morpheme|NIA_SL_WORD0018_REAL01_R_morpheme|NIA_SL_WORD0018_REAL01_U_morpheme,나사렛대학교:80,1,WORD0018,Training
WORD0019,19,알아서,80,NIA_SL_WORD0019_REAL01_D_morpheme|NIA_SL_WORD0019_REAL01_F_morpheme|NIA_SL_WORD0019_REAL01_L_morpheme|NIA_SL_WORD0019_REAL01_R_morpheme|NIA_SL_WORD0019_REAL01_U_morpheme,알아서:80,2,WORD0019|WORD2038,Training
WORD0020,20,장애인,80,NIA_SL_WORD0020_REAL01_D_morpheme|NIA_SL_WORD0020_REAL01_F_morpheme|NIA_SL_WORD0020_REAL01_L_morpheme|NIA_SL_WORD0020_REAL01_R_morpheme|NIA_SL_WORD0020_REAL01_U_morpheme,장애인:80,1,WORD0020,Training
WORD0021,21,열아홉번째,80,NIA_SL_WORD0021_REAL01_D_morpheme|NIA_SL_WORD0021_REAL01_F_morpheme|NIA_SL_WORD0021_REAL01_L_morpheme|NIA_SL_WORD0021_REAL01_R_morpheme|NIA_SL_WORD0021_REAL01_U_morpheme,열아홉번째:80,1,WORD0021,Training
WORD0022,22,침착,80,NIA_SL_WORD0022_REAL01_D_morpheme|NIA_SL_WORD0022_REAL01_F_morpheme|NIA_SL_WORD0022_REAL01_L_morpheme|NIA_SL_WORD0022_REAL01_R_morpheme|NIA_SL_WORD0022_REAL01_U_morpheme,침착:80,1,WORD0022,Training
WORD0023,23,성실,80,NIA_SL_WORD0023_REAL01_D_morpheme|NIA_SL_WORD0023_REAL01_F_morpheme|NIA_SL_WORD0023_REAL01_L_morpheme|NIA_SL_WORD0023_REAL01_R_morpheme|NIA_SL_WORD0023_REAL01_U_morpheme,성실:80,1,WORD0023,Training
WORD0024,24,학교연혁,80,NIA_SL_WORD0024_REAL01_D_morpheme|NIA_SL_WORD0024_REAL01_F_morpheme|NIA_SL_WORD0024_REAL01_L_morpheme|NIA_SL_WORD0024_REAL01_R_morpheme|NIA_SL_WORD0024_REAL01_U_morpheme,학교연혁:80,1,WORD0024,Training
WORD0025,25,싫어하다,80,NIA_SL_WORD0025_REAL01_D_morpheme|NIA_SL_WORD0025_REAL01_F_morpheme|NIA_SL_WORD0025_REAL01_L_morpheme|NIA_SL_WORD0025_REAL01_R_morpheme|NIA_SL_WORD0025_REAL01_U_morpheme,싫어하다:80,1,WORD0025,Training
WORD0026,26,급하다,80,NIA_SL_WORD0026_REAL01_D_morpheme|NIA_SL_WORD0026_REAL01_F_morpheme|NIA_SL_WORD0026_REAL01_L_morpheme|NIA_SL_WORD0026_REAL01_R_morpheme|NIA_SL_WORD0026_REAL01_U_morpheme,급하다:80,2,WORD0026|WORD1111,Training
WORD0027,27,필기시험,80,NIA_SL_WORD0027_REAL01_D_morpheme|NIA_SL_WORD0027_REAL01_F_morpheme|NIA_SL_WORD0027_REAL01_L_morpheme|NIA_SL_WORD0027_REAL01_R_morpheme|NIA_SL_WORD0027_REAL01_U_morpheme,필기시험:80,1,WORD0027,Training
WORD0028,28,병문안,80,NIA_SL_WORD0028_REAL01_D_morpheme|NIA_SL_WORD0028_REAL01_F_morpheme|NIA_SL_WORD0028_REAL01_L_morpheme|NIA_SL_WORD0028_REAL01_R_morpheme|NIA_SL_WORD0028_REAL01_U_morpheme,병문안:80,1,WORD0028,Training
WORD0029,29,검사,80,NIA_SL_WORD0029_REAL01_D_morpheme|NIA_SL_WORD0029_REAL01_F_morpheme|NIA_SL_WORD0029_REAL01_L_morpheme|NIA_SL_WORD0029_REAL01_R_morpheme|NIA_SL_WORD0029_REAL01_U_morpheme,검사:80,2,WORD0029|WORD1129,Training
WORD0030,30,결승전,80,NIA_SL_WORD0030_REAL01_D_morpheme|NIA_SL_WORD0030_REAL01_F_morpheme|NIA_SL_WORD0030_REAL01_L_morpheme|NIA_SL_WORD0030_REAL01_R_morpheme|NIA_SL_WORD0030_REAL01_U_morpheme,결승전:80,2,WORD0030|WORD0380,Training
WORD0031,31,낚시터,80,NIA_SL_WORD0031_REAL01_D_morpheme|NIA_SL_WORD0031_REAL01_F_morpheme|NIA_SL_WORD0031_REAL01_L_morpheme|NIA_SL_WORD0031_REAL01_R_morpheme|NIA_SL_WORD0031_REAL01_U_morpheme,낚시터:80,1,WORD0031,Training
WORD0032,32,낚시대,80,NIA_SL_WORD0032_REAL01_D_morpheme|NIA_SL_WORD0032_REAL01_F_morpheme|NIA_SL_WORD0032_REAL01_L_morpheme|NIA_SL_WORD0032_REAL01_R_morpheme|NIA_SL_WORD0032_REAL01_U_morpheme,낚시대:80,1,WORD0032,Training
WORD0033,33,당뇨병,80,NIA_SL_WORD0033_REAL01_D_morpheme|NIA_SL_WORD0033_REAL01_F_morpheme|NIA_SL_WORD0033_REAL01_L_morpheme|NIA_SL_WORD0033_REAL01_R_morpheme|NIA_SL_WORD0033_REAL01_U_morpheme,당뇨병:80,1,WORD0033,Training
WORD0034,34,독서,80,NIA_SL_WORD0034_REAL01_D_morpheme|NIA_SL_WORD0034_REAL01_F_morpheme|NIA_SL_WORD0034_REAL01_L_morpheme|NIA_SL_WORD0034_REAL01_R_morpheme|NIA_SL_WORD0034_REAL01_U_morpheme,독서:80,1,WORD0034,Training
WORD0035,35,매표소,80,NIA_SL_WORD0035_REAL01_D_morpheme|NIA_SL_WORD0035_REAL01_F_morpheme|NIA_SL_WORD0035_REAL01_L_morpheme|NIA_SL_WORD0035_REAL01_R_morpheme|NIA_SL_WORD0035_REAL01_U_morpheme,매표소:80,1,WORD0035,Training
WORD0036,36,면역,80,NIA_SL_WORD0036_REAL01_D_morpheme|NIA_SL_WORD0036_REAL01_F_morpheme|NIA_SL_WORD0036_REAL01_L_morpheme|NIA_SL_WORD0036_REAL01_R_morpheme|NIA_SL_WORD0036_REAL01_U_morpheme,면역:80,1,WORD0036,Training
WORD0037,37,감기,80,NIA_SL_WORD0037_REAL01_D_morpheme|NIA_SL_WORD0037_REAL01_F_morpheme|NIA_SL_WORD0037_REAL01_L_morpheme|NIA_SL_WORD0037_REAL01_R_morpheme|NIA_SL_WORD0037_REAL01_U_morpheme,감기:80,1,WORD0037,Training
WORD0038,38,배드민턴,80,NIA_SL_WORD0038_REAL01_D_morpheme|NIA_SL_WORD0038_REAL01_F_morpheme|NIA_SL_WORD0038_REAL01_L_morpheme|NIA_SL_WORD0038_REAL01_R_morpheme|NIA_SL_WORD0038_REAL01_U_morpheme,배드민턴:80,1,WORD0038,Training
WORD0039,39,변비,80,NIA_SL_WORD0039_REAL01_D_morpheme|NIA_SL_WORD0039_REAL01_F_morpheme|NIA_SL_WORD0039_REAL01_L_morpheme|NIA_SL_WORD0039_REAL01_R_morpheme|NIA_SL_WORD0039_REAL01_U_morpheme,변비:80,1,WORD0039,Training
WORD0040,40,병명,80,NIA_SL_WORD0040_REAL01_D_morpheme|NIA_SL_WORD0040_REAL01_F_morpheme|NIA_SL_WORD0040_REAL01_L_morpheme|NIA_SL_WORD0040_REAL01_R_morpheme|NIA_SL_WORD0040_REAL01_U_morpheme,병명:80,1,WORD0040,Training
WORD0041,41,보건소,80,NIA_SL_WORD0041_REAL01_D_morpheme|NIA_SL_WORD0041_REAL01_F_morpheme|NIA_SL_WORD0041_REAL01_L_morpheme|NIA_SL_WORD0041_REAL01_R_morpheme|NIA_SL_WORD0041_REAL01_U_morpheme,보건소:80,1,WORD0041,Training
WORD0042,42,불면증,80,NIA_SL_WORD0042_REAL01_D_morpheme|NIA_SL_WORD0042_REAL01_F_morpheme|NIA_SL_WORD0042_REAL01_L_morpheme|NIA_SL_WORD0042_REAL01_R_morpheme|NIA_SL_WORD0042_REAL01_U_morpheme,불면증:80,1,WORD0042,Training
WORD0043,43,불행,80,NIA_SL_WORD0043_REAL01_D_morpheme|NIA_SL_WORD0043_REAL01_F_morpheme|NIA_SL_WORD0043_REAL01_L_morpheme|NIA_SL_WORD0043_REAL01_R_morpheme|NIA_SL_WORD0043_REAL01_U_morpheme,불행:80,1,WORD0043,Training
WORD0044,44,붕대,80,NIA_SL_WORD0044_REAL01_D_morpheme|NIA_SL_WORD0044_REAL01_F_morpheme|NIA_SL_WORD0044_REAL01_L_morpheme|NIA_SL_WORD0044_REAL01_R_morpheme|NIA_SL_WORD0044_REAL01_U_morpheme,붕대:80,1,WORD0044,Training
WORD0045,45,사위,80,NIA_SL_WORD0045_REAL01_D_morpheme|NIA_SL_WORD0045_REAL01_F_morpheme|NIA_SL_WORD0045_REAL01_L_morpheme|NIA_SL_WORD0045_REAL01_R_morpheme|NIA_SL_WORD0045_REAL01_U_morpheme,사위:80,1,WORD0045,Training
WORD0046,46,설사,80,NIA_SL_WORD0046_REAL01_D_morpheme|NIA_SL_WORD0046_REAL01_F_morpheme|NIA_SL_WORD0046_REAL01_L_morpheme|NIA_SL_WORD0046_REAL01_R_morpheme|NIA_SL_WORD0046_REAL01_U_morpheme,설사:80,1,WORD0046,Training
WORD0047,47,성병,80,NIA_SL_WORD0047_REAL01_D_morpheme|NIA_SL_WORD0047_REAL01_F_morpheme|NIA_SL_WORD0047_REAL01_L_morpheme|NIA_SL_WORD0047_REAL01_R_morpheme|NIA_SL_WORD0047_REAL01_U_morpheme,성병:80,1,WORD0047,Training
WORD0048,48,방충,80,NIA_SL_WORD0048_REAL01_D_morpheme|NIA_SL_WORD0048_REAL01_F_morpheme|NIA_SL_WORD0048_REAL01_L_morpheme|NIA_SL_WORD0048_REAL01_R_morpheme|NIA_SL_WORD0048_REAL01_U_morpheme,방충:80,1,WORD0048,Training
WORD0049,49,소화제,80,NIA_SL_WORD0049_REAL01_D_morpheme|NIA_SL_WORD0049_REAL01_F_morpheme|NIA_SL_WORD0049_REAL01_L_morpheme|NIA_SL_WORD0049_REAL01_R_morpheme|NIA_SL_WORD0049_REAL01_U_morpheme,소화제:80,1,WORD0049,Training
WORD0050,50,손녀,80,NIA_SL_WORD0050_REAL01_D_morpheme|NIA_SL_WORD0050_REAL01_F_morpheme|NIA_SL_WORD0050_REAL01_L_morpheme|NIA_SL_WORD0050_REAL01_R_morpheme|NIA_SL_WORD0050_REAL01_U_morpheme,손녀:80,1,WORD0050,Training
WORD0051,51,손자,80,NIA_SL_WORD0051_REAL01_D_morpheme|NIA_SL_WORD0051_REAL01_F_morpheme|NIA_SL_WORD0051_REAL01_L_morpheme|NIA_SL_WORD0051_REAL01_R_morpheme|NIA_SL_WORD0051_REAL01_U_morpheme,손자:80,1,WORD0051,Training
WORD0052,52,수면제,80,NIA_SL_WORD0052_REAL01_D_morpheme|NIA_SL_WORD0052_REAL01_F_morpheme|NIA_SL_WORD0052_REAL01_L_morpheme|NIA_SL_WORD0052_REAL01_R_morpheme|NIA_SL_WORD0052_REAL01_U_morpheme,수면제:80,1,WORD0052,Training
WORD0053,53,수집가,80,NIA_SL_WORD0053_REAL01_D_morpheme|NIA_SL_WORD0053_REAL01_F_morpheme|NIA_SL_WORD0053_REAL01_L_morpheme|NIA_SL_WORD0053_REAL01_R_morpheme|NIA_SL_WORD0053_REAL01_U_morpheme,수집가:80,1,WORD0053,Training
WORD0054,54,여행지,80,NIA_SL_WORD0054_REAL01_D_morpheme|NIA_SL_WORD0054_REAL01_F_morpheme|NIA_SL_WORD0054_REAL01_L_morpheme|NIA_SL_WORD0054_REAL01_R_morpheme|NIA_SL_WORD0054_REAL01_U_morpheme,여행지:80,1,WORD0054,Training
WORD0055,55,예식장,80,NIA_SL_WORD0055_REAL01_D_morpheme|NIA_SL_WORD0055_REAL01_F_morpheme|NIA_SL_WORD0055_REAL01_L_morpheme|NIA_SL_WORD0055_REAL01_R_morpheme|NIA_SL_WORD0055_REAL01_U_morpheme,예식장:80,1,WORD0055,Training
WORD0056,56,올림픽경기,80,NIA_SL_WORD0056_REAL01_D_morpheme|NIA_SL_WORD0056_REAL01_F_morpheme|NIA_SL_WORD0056_REAL01_L_morpheme|NIA_SL_WORD0056_REAL01_R_morpheme|NIA_SL_WORD0056_REAL01_U_morpheme,올림픽경기:80,1,WORD0056,Training
WORD0057,57,회복,80,NIA_SL_WORD0057_REAL01_D_morpheme|NIA_SL_WORD0057_REAL01_F_morpheme|NIA_SL_WORD0057_REAL01_L_morpheme|NIA_SL_WORD0057_REAL01_R_morpheme|NIA_SL_WORD0057_REAL01_U_morpheme,회복:80,2,WORD0057|WORD0965,Training
WORD0058,58,첫번째,80,NIA_SL_WORD0058_REAL01_D_morpheme|NIA_SL_WORD0058_REAL01_F_morpheme|NIA_SL_WORD0058_REAL01_L_morpheme|NIA_SL_WORD0058_REAL01_R_morpheme|NIA_SL_WORD0058_REAL01_U_morpheme,첫번째:80,1,WORD0058,Training
WORD0059,59,운동경기,80,NIA_SL_WORD0059_REAL01_D_morpheme|NIA_SL_WORD0059_REAL01_F_morpheme|NIA_SL_WORD0059_REAL01_L_morpheme|NIA_SL_WORD0059_REAL01_R_morpheme|NIA_SL_WORD0059_REAL01_U_morpheme,운동경기:80,1,WORD0059,Training
WORD0060,60,입원,80,NIA_SL_WORD0060_REAL01_D_morpheme|NIA_SL_WORD0060_REAL01_F_morpheme|NIA_SL_WORD0060_REAL01_L_morpheme|NIA_SL_WORD0060_REAL01_R_morpheme|NIA_SL_WORD0060_REAL01_U_morpheme,입원:80,1,WORD0060,Training
WORD0061,61,재혼,80,NIA_SL_WORD0061_REAL01_D_morpheme|NIA_SL_WORD0061_REAL01_F_morpheme|NIA_SL_WORD0061_REAL01_L_morpheme|NIA_SL_WORD0061_REAL01_R_morpheme|NIA_SL_WORD0061_REAL01_U_morpheme,재혼:80,1,WORD0061,Training
WORD0062,62,진단서,80,NIA_SL_WORD0062_REAL01_D_morpheme|NIA_SL_WORD0062_REAL01_F_morpheme|NIA_SL_WORD0062_REAL01_L_morpheme|NIA_SL_WORD0062_REAL01_R_morpheme|NIA_SL_WORD0062_REAL01_U_morpheme,진단서:80,1,WORD0062,Training
WORD0063,63,축구장,80,NIA_SL_WORD0063_REAL01_D_morpheme|NIA_SL_WORD0063_REAL01_F_morpheme|NIA_SL_WORD0063_REAL01_L_morpheme|NIA_SL_WORD0063_REAL01_R_morpheme|NIA_SL_WORD0063_REAL01_U_morpheme,축구장:80,1,WORD0063,Training
WORD0064,64,치료,80,NIA_SL_WORD0064_REAL01_D_morpheme|NIA_SL_WORD0064_REAL01_F_morpheme|NIA_SL_WORD0064_REAL01_L_morpheme|NIA_SL_WORD0064_REAL01_R_morpheme|NIA_SL_WORD0064_REAL01_U_morpheme,치료:80,1,WORD0064,Training
WORD0065,65,치료법,80,NIA_SL_WORD0065_REAL01_D_morpheme|NIA_SL_WORD0065_REAL01_F_morpheme|NIA_SL_WORD0065_REAL01_L_morpheme|NIA_SL_WORD0065_REAL01_R_morpheme|NIA_SL_WORD0065_REAL01_U_morpheme,치료법:80,1,WORD0065,Training
WORD0066,66,친아들,80,NIA_SL_WORD0066_REAL01_D_morpheme|NIA_SL_WORD0066_REAL01_F_morpheme|NIA_SL_WORD0066_REAL01_L_morpheme|NIA_SL_WORD0066_REAL01_R_morpheme|NIA_SL_WORD0066_REAL01_U_morpheme,친아들:80,1,WORD0066,Training
WORD0067,67,퇴원,80,NIA_SL_WORD0067_REAL01_D_morpheme|NIA_SL_WORD0067_REAL01_F_morpheme|NIA_SL_WORD0067_REAL01_L_morpheme|NIA_SL_WORD0067_REAL01_R_morpheme|NIA_SL_WORD0067_REAL01_U_morpheme,퇴원:80,1,WORD0067,Training
WORD0068,68,한약,80,NIA_SL_WORD0068_REAL01_D_morpheme|NIA_SL_WORD0068_REAL01_F_morpheme|NIA_SL_WORD0068_REAL01_L_morpheme|NIA_SL_WORD0068_REAL01_R_morpheme|NIA_SL_WORD0068_REAL01_U_morpheme,한약:80,1,WORD0068,Training
WORD0069,69,한약방,80,NIA_SL_WORD0069_REAL01_D_morpheme|NIA_SL_WORD0069_REAL01_F_morpheme|NIA_SL_WORD0069_REAL01_L_morpheme|NIA_SL_WORD0069_REAL01_R_morpheme|NIA_SL_WORD0069_REAL01_U_morpheme,한약방:80,1,WORD0069,Training
WORD0070,70,빈혈,80,NIA_SL_WORD0070_REAL01_D_morpheme|NIA_SL_WORD0070_REAL01_F_morpheme|NIA_SL_WORD0070_REAL01_L_morpheme|NIA_SL_WORD0070_REAL01_R_morpheme|NIA_SL_WORD0070_REAL01_U_morpheme,빈혈:80,1,WORD0070,Training
WORD0071,71,화상,80,NIA_SL_WORD0071_REAL01_D_morpheme|NIA_SL_WORD0071_REAL01_F_morpheme|NIA_SL_WORD0071_REAL01_L_morpheme|NIA_SL_WORD0071_REAL01_R_morpheme|NIA_SL_WORD0071_REAL01_U_morpheme,화상:80,1,WORD0071,Training
WORD0072,72,가래떡,80,NIA_SL_WORD0072_REAL01_D_morpheme|NIA_SL_WORD0072_REAL01_F_morpheme|NIA_SL_WORD0072_REAL01_L_morpheme|NIA_SL_WORD0072_REAL01_R_morpheme|NIA_SL_WORD0072_REAL01_U_morpheme,가래떡:80,1,WORD0072,Training
WORD0073,73,고깃국,80,NIA_SL_WORD0073_REAL01_D_morpheme|NIA_SL_WORD0073_REAL01_F_morpheme|NIA_SL_WORD0073_REAL01_L_morpheme|NIA_SL_WORD0073_REAL01_R_morpheme|NIA_SL_WORD0073_REAL01_U_morpheme,고깃국:80,1,WORD0073,Training
WORD0074,74,고추,80,NIA_SL_WORD0074_REAL01_D_morpheme|NIA_SL_WORD0074_REAL01_F_morpheme|NIA_SL_WORD0074_REAL01_L_morpheme|NIA_SL_WORD0074_REAL01_R_morpheme|NIA_SL_WORD0074_REAL01_U_morpheme,고추:80,1,WORD0074,Training
WORD0075,75,고추가루,80,NIA_SL_WORD0075_REAL01_D_morpheme|NIA_SL_WORD0075_REAL01_F_morpheme|NIA_SL_WORD0075_REAL01_L_morpheme|NIA_SL_WORD0075_REAL01_R_morpheme|NIA_SL_WORD0075_REAL01_U_morpheme,고추가루:80,1,WORD0075,Training
WORD0076,76,사골,80,NIA_SL_WORD0076_REAL01_D_morpheme|NIA_SL_WORD0076_REAL01_F_morpheme|NIA_SL_WORD0076_REAL01_L_morpheme|NIA_SL_WORD0076_REAL01_R_morpheme|NIA_SL_WORD0076_REAL01_U_morpheme,사골:80,1,WORD0076,Training
WORD0077,77,배추국,80,NIA_SL_WORD0077_REAL01_D_morpheme|NIA_SL_WORD0077_REAL01_F_morpheme|NIA_SL_WORD0077_REAL01_L_morpheme|NIA_SL_WORD0077_REAL01_R_morpheme|NIA_SL_WORD0077_REAL01_U_morpheme,배추국:80,1,WORD0077,Training
WORD0078,78,꽈베기,80,NIA_SL_WORD0078_REAL01_D_morpheme|NIA_SL_WORD0078_REAL01_F_morpheme|NIA_SL_WORD0078_REAL01_L_morpheme|NIA_SL_WORD0078_REAL01_R_morpheme|NIA_SL_WORD0078_REAL01_U_morpheme,꽈베기:80,1,WORD0078,Training
WORD0079,79,벌꿀,80,NIA_SL_WORD0079_REAL01_D_morpheme|NIA_SL_WORD0079_REAL01_F_morpheme|NIA_SL_WORD0079_REAL01_L_morpheme|NIA_SL_WORD0079_REAL01_R_morpheme|NIA_SL_WORD0079_REAL01_U_morpheme,벌꿀:80,1,WORD0079,Training
WORD0080,80,꿀물,80,NIA_SL_WORD0080_REAL01_D_morpheme|NIA_SL_WORD0080_REAL01_F_morpheme|NIA_SL_WORD0080_REAL01_L_morpheme|NIA_SL_WORD0080_REAL01_R_morpheme|NIA_SL_WORD0080_REAL01_U_morpheme,꿀물:80,1,WORD0080,Training
WORD0081,81,냄비,80,NIA_SL_WORD0081_REAL01_D_morpheme|NIA_SL_WORD0081_REAL01_F_morpheme|NIA_SL_WORD0081_REAL01_L_morpheme|NIA_SL_WORD0081_REAL01_R_morpheme|NIA_SL_WORD0081_REAL01_U_morpheme,냄비:80,1,WORD0081,Training
WORD0082,82,찬물,80,NIA_SL_WORD0082_REAL01_D_morpheme|NIA_SL_WORD0082_REAL01_F_morpheme|NIA_SL_WORD0082_REAL01_L_morpheme|NIA_SL_WORD0082_REAL01_R_morpheme|NIA_SL_WORD0082_REAL01_U_morpheme,찬물:80,1,WORD0082,Training
WORD0083,83,다과,80,NIA_SL_WORD0083_REAL01_D_morpheme|NIA_SL_WORD0083_REAL01_F_morpheme|NIA_SL_WORD0083_REAL01_L_morpheme|NIA_SL_WORD0083_REAL01_R_morpheme|NIA_SL_WORD0083_REAL01_U_morpheme,다과:80,1,WORD0083,Training
WORD0084,84,지방경찰청장,80,NIA_SL_WORD0084_REAL01_D_morpheme|NIA_SL_WORD0084_REAL01_F_morpheme|NIA_SL_WORD0084_REAL01_L_morpheme|NIA_SL_WORD0084_REAL01_R_morpheme|NIA_SL_WORD0084_REAL01_U_morpheme,지방경찰청장:80,1,WORD0084,Training
WORD0085,85,된장찌게,80,NIA_SL_WORD0085_REAL01_D_morpheme|NIA_SL_WORD0085_REAL01_F_morpheme|NIA_SL_WORD0085_REAL01_L_morpheme|NIA_SL_WORD0085_REAL01_R_morpheme|NIA_SL_WORD0085_REAL01_U_morpheme,된장찌게:80,1,WORD0085,Training
WORD0086,86,돼지고기,80,NIA_SL_WORD0086_REAL01_D_morpheme|NIA_SL_WORD0086_REAL01_F_morpheme|NIA_SL_WORD0086_REAL01_L_morpheme|NIA_SL_WORD0086_REAL01_R_morpheme|NIA_SL_WORD0086_REAL01_U_morpheme,돼지고기:80,1,WORD0086,Training
WORD0087,87,두부,80,NIA_SL_WORD0087_REAL01_D_morpheme|NIA_SL_WORD0087_REAL01_F_morpheme|NIA_SL_WORD0087_REAL01_L_morpheme|NIA_SL_WORD0087_REAL01_R_morpheme|NIA_SL_WORD0087_REAL01_U_morpheme,두부:80,1,WORD0087,Training
WORD0088,88,딸기,80,NIA_SL_WORD0088_REAL01_D_morpheme|NIA_SL_WORD0088_REAL01_F_morpheme|NIA_SL_WORD0088_REAL01_L_morpheme|NIA_SL_WORD0088_REAL01_R_morpheme|NIA_SL_WORD0088_REAL01_U_morpheme,딸기:80,1,WORD0088,Training
