sample_id,label,word_id,real_id,angle,video_path,start,end,duration,npz_index,status
NIA_SL_WORD1378_REAL05_F,자다,WORD1378,REAL05,F,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD1378_REAL05_F.mp4,1.845,2.703,4.7,11,ok
NIA_SL_WORD1381_REAL05_F,괜찮다,WORD1381,REAL05,F,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD1381_REAL05_F.mp4,1.63,2.545,4.234,12,ok
NIA_SL_WORD1496_REAL05_F,병원,WORD1496,REAL05,F,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD1496_REAL05_F.mp4,1.679,2.58,4.034,13,ok
NIA_SL_WORD1544_REAL06_F,자다,WORD1544,REAL06,F,E:\study\KSL_data_file\[원천]11_real_word_video\06\NIA_SL_WORD1544_REAL06_F.mp4,1.696,2.505,3.767,14,ok
NIA_SL_WORD0815_REAL06_F,우유,WORD0815,REAL06,F,E:\study\KSL_data_file\[원천]12_real_word_video\06-1\NIA_SL_WORD0815_REAL06_F.mp4,1.708,3.488,4.367,15,ok
NIA_SL_WORD0943_REAL06_F,가다,WORD0943,REAL06,F,E:\study\KSL_data_file\[원천]12_real_word_video\06-1\NIA_SL_WORD0943_REAL06_F.mp4,1.217,2.224,2.7,16,ok
NIA_SL_WORD0944_REAL06_F,가다,WORD0944,REAL06,F,E:\study\KSL_data_file\[원천]12_real_word_video\06-1\NIA_SL_WORD0944_REAL06_F.mp4,1.431,2.35,3.067,17,ok
NIA_SL_WORD0946_REAL06_F,가다,WORD0946,REAL06,F,E:\study\KSL_data_file\[원천]12_real_word_video\06-1\NIA_SL_WORD0946_REAL06_F.mp4,1.46,2.661,3.434,18,ok
NIA_SL_WORD0953_REAL06_F,배고프다,WORD0953,REAL06,F,E:\study\KSL_data_file\[원천]12_real_word_video\06-1\NIA_SL_WORD0953_REAL06_F.mp4,1.541,2.54,3.467,19,ok
NIA_SL_WORD1152_REAL06_F,아프다,WORD1152,REAL06,F,E:\study\KSL_data_file\[원천]12_real_word_video\06-1\NIA_SL_WORD1152_REAL06_F.mp4,1.176,2.256,3.9,20,ok
NIA_SL_WORD1197_REAL06_F,배고프다,WORD1197,REAL06,F,E:\study\KSL_data_file\[원천]12_real_word_video\06-1\NIA_SL_WORD1197_REAL06_F.mp4,1.832,3.322,5.034,21,ok
NIA_SL_WORD1243_REAL06_F,우유,WORD1243,REAL06,F,E:\study\KSL_data_file\[원천]12_real_word_video\06-1\NIA_SL_WORD1243_REAL06_F.mp4,1.558,2.728,4.167,22,ok
NIA_SL_WORD1290_REAL06_F,감사,WORD1290,REAL06,F,E:\study\KSL_data_file\[원천]12_real_word_video\06-1\NIA_SL_WORD1290_REAL06_F.mp4,1.535,2.786,4.5,23,ok
NIA_SL_WORD1345_REAL06_F,가다,WORD1345,REAL06,F,E:\study\KSL_data_file\[원천]12_real_word_video\06-1\NIA_SL_WORD1345_REAL06_F.mp4,1.954,2.776,4.3,24,ok
NIA_SL_WORD1377_REAL06_F,자다,WORD1377,REAL06,F,E:\study\KSL_data_file\[원천]12_real_word_video\06-1\NIA_SL_WORD1377_REAL06_F.mp4,1.687,2.638,4.334,25,ok
NIA_SL_WORD1378_REAL06_F,자다,WORD1378,REAL06,F,E:\study\KSL_data_file\[원천]12_real_word_video\06-1\NIA_SL_WORD1378_REAL06_F.mp4,1.845,2.703,4.7,26,ok
NIA_SL_WORD1381_REAL06_F,괜찮다,WORD1381,REAL06,F,E:\study\KSL_data_file\[원천]12_real_word_video\06-1\NIA_SL_WORD1381_REAL06_F.mp4,1.63,2.545,4.234,27,ok
NIA_SL_WORD1496_REAL06_F,병원,WORD1496,REAL06,F,E:\study\KSL_data_file\[원천]12_real_word_video\06-1\NIA_SL_WORD1496_REAL06_F.mp4,1.679,2.58,4.034,28,ok
