sample_id,label,angle,morpheme_path,start,end,duration,split
NIA_SL_WORD0039_REAL13_F,변비,F,generated_from_REAL13_keypoint,2.122,3.847,4.934,train
NIA_SL_WORD0039_REAL13_L,변비,L,generated_from_REAL13_keypoint,2.122,3.847,4.934,train
NIA_SL_WORD0039_REAL13_R,변비,R,generated_from_REAL13_keypoint,2.122,3.847,4.934,train
NIA_SL_WORD0039_REAL13_U,변비,U,generated_from_REAL13_keypoint,2.122,3.847,4.934,validation
NIA_SL_WORD0042_REAL13_D,불면증,D,generated_from_REAL13_keypoint,1.34,3.586,4.634,train
NIA_SL_WORD0042_REAL13_F,불면증,F,generated_from_REAL13_keypoint,1.34,3.586,4.634,train
NIA_SL_WORD0042_REAL13_L,불면증,L,generated_from_REAL13_keypoint,1.34,3.586,4.634,train
NIA_SL_WORD0042_REAL13_R,불면증,R,generated_from_REAL13_keypoint,1.34,3.586,4.634,train
NIA_SL_WORD0042_REAL13_U,불면증,U,generated_from_REAL13_keypoint,1.34,3.586,4.634,validation
NIA_SL_WORD0043_REAL13_D,불행,D,generated_from_REAL13_keypoint,0.894,2.328,3.367,train
NIA_SL_WORD0043_REAL13_F,불행,F,generated_from_REAL13_keypoint,0.894,2.328,3.367,train
NIA_SL_WORD0043_REAL13_L,불행,L,generated_from_REAL13_keypoint,0.894,2.328,3.367,train
NIA_SL_WORD0043_REAL13_R,불행,R,generated_from_REAL13_keypoint,0.894,2.328,3.367,train
NIA_SL_WORD0043_REAL13_U,불행,U,generated_from_REAL13_keypoint,0.894,2.328,3.367,validation
NIA_SL_WORD0046_REAL13_D,설사,D,generated_from_REAL13_keypoint,1.227,2.952,4.0,train
NIA_SL_WORD0046_REAL13_F,설사,F,generated_from_REAL13_keypoint,1.227,2.952,4.0,train
NIA_SL_WORD0046_REAL13_L,설사,L,generated_from_REAL13_keypoint,1.227,2.952,4.0,train
NIA_SL_WORD0046_REAL13_R,설사,R,generated_from_REAL13_keypoint,1.227,2.952,4.0,train
NIA_SL_WORD0046_REAL13_U,설사,U,generated_from_REAL13_keypoint,1.227,2.952,4.0,validation
NIA_SL_WORD0047_REAL13_D,성병,D,generated_from_REAL13_keypoint,1.653,2.961,5.234,train
NIA_SL_WORD0047_REAL13_F,성병,F,generated_from_REAL13_keypoint,1.653,2.961,5.234,train
NIA_SL_WORD0047_REAL13_L,성병,L,generated_from_REAL13_keypoint,1.653,2.961,5.234,train
NIA_SL_WORD0047_REAL13_R,성병,R,generated_from_REAL13_keypoint,1.653,2.961,5.234,train
NIA_SL_WORD0047_REAL13_U,성병,U,generated_from_REAL13_keypoint,1.653,2.961,5.234,validation
NIA_SL_WORD0048_REAL13_D,방충,D,generated_from_REAL13_keypoint,1.56,3.077,4.267,train
NIA_SL_WORD0048_REAL13_F,방충,F,generated_from_REAL13_keypoint,1.56,3.077,4.267,train
NIA_SL_WORD0048_REAL13_L,방충,L,generated_from_REAL13_keypoint,1.56,3.077,4.267,train
NIA_SL_WORD0048_REAL13_R,방충,R,generated_from_REAL13_keypoint,1.56,3.077,4.267,train
NIA_SL_WORD0048_REAL13_U,방충,U,generated_from_REAL13_keypoint,1.56,3.077,4.267,validation
NIA_SL_WORD0057_REAL13_D,회복,D,generated_from_REAL13_keypoint,1.296,2.904,4.134,train
NIA_SL_WORD0057_REAL13_F,회복,F,generated_from_REAL13_keypoint,1.296,2.904,4.134,train
NIA_SL_WORD0057_REAL13_L,회복,L,generated_from_REAL13_keypoint,1.296,2.904,4.134,train
NIA_SL_WORD0057_REAL13_R,회복,R,generated_from_REAL13_keypoint,1.296,2.904,4.134,train
NIA_SL_WORD0057_REAL13_U,회복,U,generated_from_REAL13_keypoint,1.296,2.904,4.134,validation
NIA_SL_WORD0060_REAL13_D,입원,D,generated_from_REAL13_keypoint,1.651,3.415,4.267,train
NIA_SL_WORD0060_REAL13_F,입원,F,generated_from_REAL13_keypoint,1.651,3.415,4.267,train
NIA_SL_WORD0060_REAL13_L,입원,L,generated_from_REAL13_keypoint,1.651,3.415,4.267,train
NIA_SL_WORD0060_REAL13_R,입원,R,generated_from_REAL13_keypoint,1.651,3.415,4.267,train
NIA_SL_WORD0060_REAL13_U,입원,U,generated_from_REAL13_keypoint,1.651,3.415,4.267,validation
NIA_SL_WORD0061_REAL13_D,재혼,D,generated_from_REAL13_keypoint,1.319,2.51,4.0,train
NIA_SL_WORD0061_REAL13_F,재혼,F,generated_from_REAL13_keypoint,1.319,2.51,4.0,train
NIA_SL_WORD0061_REAL13_L,재혼,L,generated_from_REAL13_keypoint,1.319,2.51,4.0,train
NIA_SL_WORD0061_REAL13_R,재혼,R,generated_from_REAL13_keypoint,1.319,2.51,4.0,train
NIA_SL_WORD0061_REAL13_U,재혼,U,generated_from_REAL13_keypoint,1.319,2.51,4.0,validation
NIA_SL_WORD0064_REAL13_D,치료,D,generated_from_REAL13_keypoint,1.429,3.193,4.267,train
NIA_SL_WORD0064_REAL13_F,치료,F,generated_from_REAL13_keypoint,1.429,3.193,4.267,train
NIA_SL_WORD0064_REAL13_L,치료,L,generated_from_REAL13_keypoint,1.429,3.193,4.267,train
NIA_SL_WORD0064_REAL13_R,치료,R,generated_from_REAL13_keypoint,1.429,3.193,4.267,train
NIA_SL_WORD0064_REAL13_U,치료,U,generated_from_REAL13_keypoint,1.429,3.193,4.267,validation
NIA_SL_WORD0067_REAL13_D,퇴원,D,generated_from_REAL13_keypoint,1.484,3.079,4.1,train
NIA_SL_WORD0067_REAL13_F,퇴원,F,generated_from_REAL13_keypoint,1.484,3.079,4.1,train
NIA_SL_WORD0067_REAL13_L,퇴원,L,generated_from_REAL13_keypoint,1.484,3.079,4.1,train
NIA_SL_WORD0067_REAL13_R,퇴원,R,generated_from_REAL13_keypoint,1.484,3.079,4.1,train
NIA_SL_WORD0067_REAL13_U,퇴원,U,generated_from_REAL13_keypoint,1.484,3.079,4.1,validation
NIA_SL_WORD0070_REAL13_D,빈혈,D,generated_from_REAL13_keypoint,2.392,4.039,5.034,train
NIA_SL_WORD0070_REAL13_F,빈혈,F,generated_from_REAL13_keypoint,2.392,4.039,5.034,train
NIA_SL_WORD0070_REAL13_L,빈혈,L,generated_from_REAL13_keypoint,2.392,4.039,5.034,train
NIA_SL_WORD0070_REAL13_R,빈혈,R,generated_from_REAL13_keypoint,2.392,4.039,5.034,train
NIA_SL_WORD0070_REAL13_U,빈혈,U,generated_from_REAL13_keypoint,2.392,4.039,5.034,validation
NIA_SL_WORD0071_REAL13_D,화상,D,generated_from_REAL13_keypoint,1.401,3.791,4.734,train
NIA_SL_WORD0071_REAL13_F,화상,F,generated_from_REAL13_keypoint,1.401,3.791,4.734,train
NIA_SL_WORD0071_REAL13_L,화상,L,generated_from_REAL13_keypoint,1.401,3.791,4.734,train
NIA_SL_WORD0071_REAL13_R,화상,R,generated_from_REAL13_keypoint,1.401,3.791,4.734,train
NIA_SL_WORD0071_REAL13_U,화상,U,generated_from_REAL13_keypoint,1.401,3.791,4.734,validation
NIA_SL_WORD0100_REAL13_D,사이다,D,generated_from_REAL13_keypoint,1.583,2.708,3.834,train
NIA_SL_WORD0100_REAL13_F,사이다,F,generated_from_REAL13_keypoint,1.583,2.708,3.834,train
NIA_SL_WORD0100_REAL13_L,사이다,L,generated_from_REAL13_keypoint,1.583,2.708,3.834,train
NIA_SL_WORD0100_REAL13_R,사이다,R,generated_from_REAL13_keypoint,1.583,2.708,3.834,train
NIA_SL_WORD0100_REAL13_U,사이다,U,generated_from_REAL13_keypoint,1.583,2.708,3.834,validation
NIA_SL_WORD0101_REAL13_D,달다,D,generated_from_REAL13_keypoint,1.278,2.472,3.434,train
NIA_SL_WORD0101_REAL13_F,달다,F,generated_from_REAL13_keypoint,1.278,2.472,3.434,train
NIA_SL_WORD0101_REAL13_L,달다,L,generated_from_REAL13_keypoint,1.278,2.472,3.434,train
NIA_SL_WORD0101_REAL13_R,달다,R,generated_from_REAL13_keypoint,1.278,2.472,3.434,train
NIA_SL_WORD0101_REAL13_U,달다,U,generated_from_REAL13_keypoint,1.278,2.472,3.434,validation
NIA_SL_WORD0145_REAL13_D,음주운전,D,generated_from_REAL13_keypoint,1.499,3.196,4.267,train
NIA_SL_WORD0145_REAL13_F,음주운전,F,generated_from_REAL13_keypoint,1.499,3.196,4.267,train
NIA_SL_WORD0145_REAL13_L,음주운전,L,generated_from_REAL13_keypoint,1.499,3.196,4.267,train
NIA_SL_WORD0145_REAL13_R,음주운전,R,generated_from_REAL13_keypoint,1.499,3.196,4.267,train
NIA_SL_WORD0145_REAL13_U,음주운전,U,generated_from_REAL13_keypoint,1.499,3.196,4.267,validation
NIA_SL_WORD0150_REAL13_D,개입하지않는다,D,generated_from_REAL13_keypoint,1.403,3.358,4.334,train
NIA_SL_WORD0150_REAL13_F,개입하지않는다,F,generated_from_REAL13_keypoint,1.403,3.358,4.334,train
NIA_SL_WORD0150_REAL13_L,개입하지않는다,L,generated_from_REAL13_keypoint,1.403,3.358,4.334,train
NIA_SL_WORD0150_REAL13_R,개입하지않는다,R,generated_from_REAL13_keypoint,1.403,3.358,4.334,train
NIA_SL_WORD0150_REAL13_U,개입하지않는다,U,generated_from_REAL13_keypoint,1.403,3.358,4.334,validation
NIA_SL_WORD0151_REAL13_D,음주운전,D,generated_from_REAL13_keypoint,1.852,4.419,5.367,train
NIA_SL_WORD0151_REAL13_F,음주운전,F,generated_from_REAL13_keypoint,1.852,4.419,5.367,train
NIA_SL_WORD0151_REAL13_L,음주운전,L,generated_from_REAL13_keypoint,1.852,4.419,5.367,train
NIA_SL_WORD0151_REAL13_R,음주운전,R,generated_from_REAL13_keypoint,1.852,4.419,5.367,train
NIA_SL_WORD0151_REAL13_U,음주운전,U,generated_from_REAL13_keypoint,1.852,4.419,5.367,validation
NIA_SL_WORD0178_REAL13_D,평가,D,generated_from_REAL13_keypoint,1.26,2.929,4.0,train
NIA_SL_WORD0178_REAL13_F,평가,F,generated_from_REAL13_keypoint,1.26,2.929,4.0,train
NIA_SL_WORD0178_REAL13_L,평가,L,generated_from_REAL13_keypoint,1.26,2.929,4.0,train
NIA_SL_WORD0178_REAL13_R,평가,R,generated_from_REAL13_keypoint,1.26,2.929,4.0,train
NIA_SL_WORD0178_REAL13_U,평가,U,generated_from_REAL13_keypoint,1.26,2.929,4.0,validation
NIA_SL_WORD0182_REAL13_D,화상채팅,D,generated_from_REAL13_keypoint,1.417,2.991,3.967,train
NIA_SL_WORD0182_REAL13_F,화상채팅,F,generated_from_REAL13_keypoint,1.417,2.991,3.967,train
NIA_SL_WORD0182_REAL13_L,화상채팅,L,generated_from_REAL13_keypoint,1.417,2.991,3.967,train
NIA_SL_WORD0182_REAL13_R,화상채팅,R,generated_from_REAL13_keypoint,1.417,2.991,3.967,train
NIA_SL_WORD0182_REAL13_U,화상채팅,U,generated_from_REAL13_keypoint,1.417,2.991,3.967,validation
NIA_SL_WORD0223_REAL13_D,복습,D,generated_from_REAL13_keypoint,0.991,2.47,3.5,train
NIA_SL_WORD0223_REAL13_F,복습,F,generated_from_REAL13_keypoint,0.991,2.47,3.5,train
NIA_SL_WORD0223_REAL13_L,복습,L,generated_from_REAL13_keypoint,0.991,2.47,3.5,train
NIA_SL_WORD0223_REAL13_R,복습,R,generated_from_REAL13_keypoint,0.991,2.47,3.5,train
NIA_SL_WORD0223_REAL13_U,복습,U,generated_from_REAL13_keypoint,0.991,2.47,3.5,validation
NIA_SL_WORD0325_REAL13_D,얼굴이빨개지다,D,generated_from_REAL13_keypoint,1.331,2.862,3.9,train
NIA_SL_WORD0325_REAL13_F,얼굴이빨개지다,F,generated_from_REAL13_keypoint,1.331,2.862,3.9,train
NIA_SL_WORD0325_REAL13_L,얼굴이빨개지다,L,generated_from_REAL13_keypoint,1.331,2.862,3.9,train
NIA_SL_WORD0325_REAL13_R,얼굴이빨개지다,R,generated_from_REAL13_keypoint,1.331,2.862,3.9,train
NIA_SL_WORD0325_REAL13_U,얼굴이빨개지다,U,generated_from_REAL13_keypoint,1.331,2.862,3.9,validation
NIA_SL_WORD0369_REAL13_D,신경쓰다,D,generated_from_REAL13_keypoint,1.264,2.494,3.567,train
NIA_SL_WORD0369_REAL13_F,신경쓰다,F,generated_from_REAL13_keypoint,1.264,2.494,3.567,train
NIA_SL_WORD0369_REAL13_L,신경쓰다,L,generated_from_REAL13_keypoint,1.264,2.494,3.567,train
NIA_SL_WORD0369_REAL13_R,신경쓰다,R,generated_from_REAL13_keypoint,1.264,2.494,3.567,train
NIA_SL_WORD0369_REAL13_U,신경쓰다,U,generated_from_REAL13_keypoint,1.264,2.494,3.567,validation
NIA_SL_WORD0377_REAL13_D,휴학,D,generated_from_REAL13_keypoint,0.562,2.387,3.467,train
NIA_SL_WORD0377_REAL13_F,휴학,F,generated_from_REAL13_keypoint,0.562,2.387,3.467,train
NIA_SL_WORD0377_REAL13_L,휴학,L,generated_from_REAL13_keypoint,0.562,2.387,3.467,train
NIA_SL_WORD0377_REAL13_R,휴학,R,generated_from_REAL13_keypoint,0.562,2.387,3.467,train
NIA_SL_WORD0377_REAL13_U,휴학,U,generated_from_REAL13_keypoint,0.562,2.387,3.467,validation
NIA_SL_WORD0378_REAL13_D,휴학,D,generated_from_REAL13_keypoint,1.502,2.912,3.834,train
NIA_SL_WORD0378_REAL13_F,휴학,F,generated_from_REAL13_keypoint,1.502,2.912,3.834,train
NIA_SL_WORD0378_REAL13_L,휴학,L,generated_from_REAL13_keypoint,1.502,2.912,3.834,train
NIA_SL_WORD0378_REAL13_R,휴학,R,generated_from_REAL13_keypoint,1.502,2.912,3.834,train
NIA_SL_WORD0378_REAL13_U,휴학,U,generated_from_REAL13_keypoint,1.502,2.912,3.834,validation
NIA_SL_WORD0389_REAL13_D,맞추다,D,generated_from_REAL13_keypoint,0.796,1.89,3.1,train
NIA_SL_WORD0389_REAL13_F,맞추다,F,generated_from_REAL13_keypoint,0.796,1.89,3.1,train
NIA_SL_WORD0389_REAL13_L,맞추다,L,generated_from_REAL13_keypoint,0.796,1.89,3.1,train
NIA_SL_WORD0389_REAL13_R,맞추다,R,generated_from_REAL13_keypoint,0.796,1.89,3.1,train
NIA_SL_WORD0389_REAL13_U,맞추다,U,generated_from_REAL13_keypoint,0.796,1.89,3.1,validation
NIA_SL_WORD0395_REAL13_D,실수,D,generated_from_REAL13_keypoint,1.062,2.422,3.467,train
NIA_SL_WORD0395_REAL13_F,실수,F,generated_from_REAL13_keypoint,1.062,2.422,3.467,train
NIA_SL_WORD0395_REAL13_L,실수,L,generated_from_REAL13_keypoint,1.062,2.422,3.467,train
NIA_SL_WORD0395_REAL13_R,실수,R,generated_from_REAL13_keypoint,1.062,2.422,3.467,train
NIA_SL_WORD0395_REAL13_U,실수,U,generated_from_REAL13_keypoint,1.062,2.422,3.467,validation
NIA_SL_WORD0400_REAL13_D,정밀검사,D,generated_from_REAL13_keypoint,0.95,2.94,3.934,train
NIA_SL_WORD0400_REAL13_F,정밀검사,F,generated_from_REAL13_keypoint,0.95,2.94,3.934,train
NIA_SL_WORD0400_REAL13_L,정밀검사,L,generated_from_REAL13_keypoint,0.95,2.94,3.934,train
NIA_SL_WORD0400_REAL13_R,정밀검사,R,generated_from_REAL13_keypoint,0.95,2.94,3.934,train
NIA_SL_WORD0400_REAL13_U,정밀검사,U,generated_from_REAL13_keypoint,0.95,2.94,3.934,validation
NIA_SL_WORD0450_REAL13_D,비좁다,D,generated_from_REAL13_keypoint,1.62,3.08,4.167,train
NIA_SL_WORD0450_REAL13_F,비좁다,F,generated_from_REAL13_keypoint,1.62,3.08,4.167,train
NIA_SL_WORD0450_REAL13_L,비좁다,L,generated_from_REAL13_keypoint,1.62,3.08,4.167,train
NIA_SL_WORD0450_REAL13_R,비좁다,R,generated_from_REAL13_keypoint,1.62,3.08,4.167,train
NIA_SL_WORD0450_REAL13_U,비좁다,U,generated_from_REAL13_keypoint,1.62,3.08,4.167,validation
NIA_SL_WORD0454_REAL13_D,날쎄다,D,generated_from_REAL13_keypoint,1.827,3.423,4.367,train
NIA_SL_WORD0454_REAL13_F,날쎄다,F,generated_from_REAL13_keypoint,1.827,3.423,4.367,train
NIA_SL_WORD0454_REAL13_L,날쎄다,L,generated_from_REAL13_keypoint,1.827,3.423,4.367,train
NIA_SL_WORD0454_REAL13_R,날쎄다,R,generated_from_REAL13_keypoint,1.827,3.423,4.367,train
NIA_SL_WORD0454_REAL13_U,날쎄다,U,generated_from_REAL13_keypoint,1.827,3.423,4.367,validation
NIA_SL_WORD0456_REAL13_D,쑥쓰럽다,D,generated_from_REAL13_keypoint,1.088,2.355,3.334,train
NIA_SL_WORD0456_REAL13_F,쑥쓰럽다,F,generated_from_REAL13_keypoint,1.088,2.355,3.334,train
NIA_SL_WORD0456_REAL13_L,쑥쓰럽다,L,generated_from_REAL13_keypoint,1.088,2.355,3.334,train
NIA_SL_WORD0456_REAL13_R,쑥쓰럽다,R,generated_from_REAL13_keypoint,1.088,2.355,3.334,train
NIA_SL_WORD0456_REAL13_U,쑥쓰럽다,U,generated_from_REAL13_keypoint,1.088,2.355,3.334,validation
NIA_SL_WORD0463_REAL13_D,결합을끊다,D,generated_from_REAL13_keypoint,1.453,2.956,4.0,train
NIA_SL_WORD0463_REAL13_F,결합을끊다,F,generated_from_REAL13_keypoint,1.453,2.956,4.0,train
NIA_SL_WORD0463_REAL13_L,결합을끊다,L,generated_from_REAL13_keypoint,1.453,2.956,4.0,train
NIA_SL_WORD0463_REAL13_R,결합을끊다,R,generated_from_REAL13_keypoint,1.453,2.956,4.0,train
NIA_SL_WORD0463_REAL13_U,결합을끊다,U,generated_from_REAL13_keypoint,1.453,2.956,4.0,validation
NIA_SL_WORD0468_REAL13_D,담당,D,generated_from_REAL13_keypoint,0.926,2.257,3.867,train
NIA_SL_WORD0468_REAL13_F,담당,F,generated_from_REAL13_keypoint,0.926,2.257,3.867,train
NIA_SL_WORD0468_REAL13_L,담당,L,generated_from_REAL13_keypoint,0.926,2.257,3.867,train
NIA_SL_WORD0468_REAL13_R,담당,R,generated_from_REAL13_keypoint,0.926,2.257,3.867,train
NIA_SL_WORD0468_REAL13_U,담당,U,generated_from_REAL13_keypoint,0.926,2.257,3.867,validation
NIA_SL_WORD0475_REAL13_D,대성공,D,generated_from_REAL13_keypoint,1.329,3.183,4.234,train
NIA_SL_WORD0475_REAL13_F,대성공,F,generated_from_REAL13_keypoint,1.329,3.183,4.234,train
NIA_SL_WORD0475_REAL13_L,대성공,L,generated_from_REAL13_keypoint,1.329,3.183,4.234,train
NIA_SL_WORD0475_REAL13_R,대성공,R,generated_from_REAL13_keypoint,1.329,3.183,4.234,train
NIA_SL_WORD0475_REAL13_U,대성공,U,generated_from_REAL13_keypoint,1.329,3.183,4.234,validation
NIA_SL_WORD0491_REAL13_D,무덤덤,D,generated_from_REAL13_keypoint,0.425,1.619,2.9,train
NIA_SL_WORD0491_REAL13_F,무덤덤,F,generated_from_REAL13_keypoint,0.425,1.619,2.9,train
NIA_SL_WORD0491_REAL13_L,무덤덤,L,generated_from_REAL13_keypoint,0.425,1.619,2.9,train
NIA_SL_WORD0491_REAL13_R,무덤덤,R,generated_from_REAL13_keypoint,0.425,1.619,2.9,train
NIA_SL_WORD0491_REAL13_U,무덤덤,U,generated_from_REAL13_keypoint,0.425,1.619,2.9,validation
